,symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
56,SHSE.688288,1d,13.23,13.77,13.15,13.63,1076979,14586360.95,13.3,0,2024-04-26 00:00:00+08:00,2024-04-26 00:00:00+08:00
57,SHSE.688288,1d,13.95,14.66,13.95,14.53,1748380,25086789.75,13.63,0,2024-04-29 00:00:00+08:00,2024-04-29 00:00:00+08:00
58,SHSE.688288,1d,14.66,14.95,14.26,14.61,1131234,16444933.43,14.53,0,2024-04-30 00:00:00+08:00,2024-04-30 00:00:00+08:00
59,SHSE.688288,1d,14.78,15.18,14.56,14.8,1548225,22942963.82,14.61,0,2024-05-06 00:00:00+08:00,2024-05-06 00:00:00+08:00
60,SHSE.688288,1d,14.81,15.1,14.5,14.95,1772333,26412945.81,14.8,0,2024-05-07 00:00:00+08:00,2024-05-07 00:00:00+08:00
61,SHSE.688288,1d,15.12,15.3,14.25,14.34,1063027,15362494.5,14.95,0,2024-05-08 00:00:00+08:00,2024-05-08 00:00:00+08:00
62,SHSE.688288,1d,14.34,14.73,14.28,14.42,840591,12189477.21,14.34,0,2024-05-09 00:00:00+08:00,2024-05-09 00:00:00+08:00
63,SHSE.688288,1d,14.56,14.8,14.02,14.05,1039399,14793086.72,14.42,0,2024-05-10 00:00:00+08:00,2024-05-10 00:00:00+08:00
64,SHSE.688288,1d,14.0,14.1,13.2,13.3,1097040,14832216.17,14.05,0,2024-05-13 00:00:00+08:00,2024-05-13 00:00:00+08:00
65,SHSE.688288,1d,13.34,13.81,13.33,13.67,1119353,15250219.25,13.3,0,2024-05-14 00:00:00+08:00,2024-05-14 00:00:00+08:00
66,SHSE.688288,1d,13.85,13.9,13.31,13.37,730886,9869265.26,13.67,0,2024-05-15 00:00:00+08:00,2024-05-15 00:00:00+08:00
67,SHSE.688288,1d,13.5,14.97,13.37,14.34,2192951,31680402.49,13.37,0,2024-05-16 00:00:00+08:00,2024-05-16 00:00:00+08:00
68,SHSE.688288,1d,14.33,14.54,13.89,14.21,1727184,24587194.68,14.34,0,2024-05-17 00:00:00+08:00,2024-05-17 00:00:00+08:00
69,SHSE.688288,1d,14.27,14.57,14.05,14.15,1140111,16273860.27,14.21,0,2024-05-20 00:00:00+08:00,2024-05-20 00:00:00+08:00
70,SHSE.688288,1d,14.05,14.26,13.69,13.84,957972,13322015.27,14.15,0,2024-05-21 00:00:00+08:00,2024-05-21 00:00:00+08:00
71,SHSE.688288,1d,13.96,13.96,13.61,13.84,723762,9965869.17,13.84,0,2024-05-22 00:00:00+08:00,2024-05-22 00:00:00+08:00
72,SHSE.688288,1d,13.99,14.08,13.67,13.69,868875,11993707.48,13.84,0,2024-05-23 00:00:00+08:00,2024-05-23 00:00:00+08:00
73,SHSE.688288,1d,13.72,13.82,13.35,13.58,923629,12607563.47,13.69,0,2024-05-24 00:00:00+08:00,2024-05-24 00:00:00+08:00
74,SHSE.688288,1d,13.61,13.61,12.92,13.32,1006018,13229480.78,13.58,0,2024-05-27 00:00:00+08:00,2024-05-27 00:00:00+08:00
75,SHSE.688288,1d,13.32,13.58,13.0,13.06,901134,11985352.16,13.32,0,2024-05-28 00:00:00+08:00,2024-05-28 00:00:00+08:00
76,SHSE.688288,1d,13.17,13.58,13.17,13.34,919148,12311611.49,13.06,0,2024-05-29 00:00:00+08:00,2024-05-29 00:00:00+08:00
77,SHSE.688288,1d,13.23,13.49,13.01,13.33,679745,9052626.29,13.34,0,2024-05-30 00:00:00+08:00,2024-05-30 00:00:00+08:00
78,SHSE.688288,1d,13.2,13.79,13.07,13.64,881919,11993057.97,13.33,0,2024-05-31 00:00:00+08:00,2024-05-31 00:00:00+08:00
79,SHSE.688288,1d,13.8,14.05,12.9,12.98,1351547,17975959.65,13.64,0,2024-06-03 00:00:00+08:00,2024-06-03 00:00:00+08:00
80,SHSE.688288,1d,12.98,13.33,12.01,12.3,1856447,22872103.68,12.98,0,2024-06-04 00:00:00+08:00,2024-06-04 00:00:00+08:00
81,SHSE.688288,1d,12.52,14.76,12.17,14.76,3914418,54045580.0,12.3,0,2024-06-05 00:00:00+08:00,2024-06-05 00:00:00+08:00
82,SHSE.688288,1d,15.38,15.5,12.91,13.39,8946639,121967512.1,14.76,0,2024-06-06 00:00:00+08:00,2024-06-06 00:00:00+08:00
83,SHSE.688288,1d,13.09,13.65,12.32,12.35,5312100,68160928.95,13.39,0,2024-06-07 00:00:00+08:00,2024-06-07 00:00:00+08:00
84,SHSE.688288,1d,12.5,12.67,11.88,12.53,3645918,44652813.35,12.35,0,2024-06-11 00:00:00+08:00,2024-06-11 00:00:00+08:00
85,SHSE.688288,1d,12.59,13.14,12.45,12.73,3586357,45833076.68,12.53,0,2024-06-12 00:00:00+08:00,2024-06-12 00:00:00+08:00
86,SHSE.688288,1d,12.79,13.94,12.33,13.41,5836681,77240797.86,12.73,0,2024-06-13 00:00:00+08:00,2024-06-13 00:00:00+08:00
